year	county	totalpop	totalto	turnout	totalvr	votecenter	cumulative	election	constitutional	midterm	presidential	median_inc	bachelor_higher	Election	County	medianinc_rec	totalpop_rec
2014	"Edwards"	1889	904	0.6010638	1504	0	0	"Midterm/Gubernatorial"	0	1	0	41726	0.243	2	69	4.1726	0.001889
2010	"Fisher"	3974	1336	0.4724187	2828	0	0	"Midterm/Gubernatorial"	0	1	0	41458	0.152	2	76	4.1458	0.003974
2013	"Sutton"	4108	224	0.0915781	2446	0	0	"Constitutional"	1	0	0	53806	0.179	1	218	5.3806	0.004108
2012	"Burleson"	17706	6465	0.6043751	10697	0	0	"Presidential"	0	0	1	43976	0.114	3	26	4.3976	0.017706
2010	"Brazoria"	313166	70635	0.4141431	170557	0	0	"Midterm/Gubernatorial"	0	1	0	65607	0.261	2	20	6.5607	0.313166
2016	"Kenedy"	418	186	0.5849057	318	0	0	"Presidential"	0	0	1	24000	0.115	3	131	2.4	4.18E-4
2015	"Bosque"	18370	1757	0.1516747	11584	0	0	"Constitutional"	1	0	0	44674	0.17	1	18	4.4674	0.01837
2015	"Angelina"	90373	4293	0.087148	49261	0	0	"Constitutional"	1	0	0	44223	0.152	1	3	4.4223	0.090373
2012	"Lavaca"	19766	8372	0.6509097	12862	0	0	"Presidential"	0	0	1	42934	0.153	3	143	4.2934	0.019766
2010	"Gillespie"	24837	9457	0.5331792	17737	0	0	"Midterm/Gubernatorial"	0	1	0	52682	0.268	2	86	5.2682	0.024837
2015	"Carson"	5993	510	0.1215154	4197	0	0	"Constitutional"	1	0	0	66023	0.244	1	33	6.6023	0.005993
2018	"Webb"	278048	49381	0.37757677	130784	0	0	"Midterm/Gubernatorial"	0	1	0	42083	0.17	2	240	4.2083	0.278048
2015	"Jim Hogg"	5196	157	0.0420686	3732	0	0	"Constitutional"	1	0	0	35521	0.128	1	124	3.5521	0.005196
2016	"Reeves"	14576	3249	0.4574768	7102	0	0	"Presidential"	0	0	1	46464	0.112	3	195	4.6464	0.014576
2010	"Red River"	12860	3146	0.3982783	7899	0	0	"Midterm/Gubernatorial"	0	1	0	37047	0.086	2	194	3.7047	0.01286
2018	"Parmer"	10110	2057	0.46454382	4428	0	0	"Midterm/Gubernatorial"	0	1	0	53166	0.16	2	185	5.3166	0.01011
2015	"Brewster"	9152	798	0.1163435	6859	0	0	"Constitutional"	1	0	0	38395	0.391	1	22	3.8395	0.009152
2012	"Hale"	36712	9011	0.4596745	19603	0	0	"Presidential"	0	0	1	40521	0.135	3	95	4.0521	0.036712
2016	"Dallas"	2600000	770589	0.5927607	1300000	0	0	"Presidential"	0	0	1	51411	0.297	3	57	5.1411	2.6
2018	"Crane"	4614	1055	0.39572394	2666	0	0	"Midterm/Gubernatorial"	0	1	0	57899	0.11	2	52	5.7899	0.004614
2013	"Edwards"	1865	160	0.1090661	1467	0	0	"Constitutional"	1	0	0	43839	0.242	1	69	4.3839	0.001865
2016	"Rockwall"	93991	40244	0.7010661	57404	0	0	"Presidential"	0	0	1	89161	0.38	3	199	8.9161	0.093991
2013	"Wharton"	41311	1746	0.0722652	24161	0	0	"Constitutional"	1	0	0	40411	0.146	1	241	4.0411	0.041311
2010	"Bosque"	18212	5919	0.4877627	12135	0	0	"Midterm/Gubernatorial"	0	1	0	45288	0.148	2	18	4.5288	0.018212
2010	"Somervell"	8490	2742	0.4841102	5664	0	0	"Midterm/Gubernatorial"	0	1	0	52135	0.284	2	213	5.2135	0.00849
2016	"Lamb"	13114	4003	0.4821149	8303	0	0	"Presidential"	0	0	1	41401	0.174	3	141	4.1401	0.013114
2009	"Crosby"	6057	283	0.0734683	3852	0	0	"Constitutional"	1	0	0	34485	0.138	1	54	3.4485	0.006057
2012	"Matagorda"	37132	12250	0.5845302	20957	0	0	"Presidential"	0	0	1	43146	0.154	3	158	4.3146	0.037132
2018	"Mason"	4066	1967	0.66542625	2956	0	0	"Midterm/Gubernatorial"	0	1	0	47224	0.11	2	157	4.7224	0.004066
2012	"San Jacinto"	27151	9724	0.6152094	15806	0	0	"Presidential"	0	0	1	46413	0.118	3	204	4.6413	0.027151
2013	"Wood"	43106	2219	0.082298	26963	0	0	"Constitutional"	1	0	0	43649	0.17	1	250	4.3649	0.043106
2011	"Kimble"	4642	242	0.083737	2890	0	0	"Constitutional"	1	0	0	43653	0.206	1	134	4.3653	0.004642
2013	"Nolan"	15042	634	0.0759736	8345	0	0	"Constitutional"	1	0	0	36806	0.125	1	177	3.6806	0.015042
2016	"McMullen"	866	499	0.7048023	708	0	0	"Presidential"	0	0	1	57589	0.162	3	162	5.7589	8.66E-4
2013	"Hidalgo"	818553	17186	0.0565876	303706	0	0	"Constitutional"	1	0	0	34146	0.159	1	108	3.4146	0.818553
2017	"Crockett"	3513	468	0.1895504	2469	0	0	"Constitutional"	1	0	0	73109	0.089	1	53	7.3109	0.003513
2016	"Irion"	1671	779	0.5822123	1338	0	0	"Presidential"	0	0	1	64100	0.157	3	118	6.41	0.001671
2014	"Castro"	7702	1198	0.3021438	3965	0	0	"Midterm/Gubernatorial"	0	1	0	40470	0.139	2	35	4.047	0.007702
2014	"Comanche"	13955	3080	0.3584313	8593	0	0	"Midterm/Gubernatorial"	0	1	0	35692	0.183	2	47	3.5692	0.013955
2011	"Johnson"	153383	3207	0.0413353	77585	0	0	"Constitutional"	1	0	0	55970	0.163	1	126	5.597	0.153383
2011	"Nacogdoches"	65260	967	0.0328186	29465	0	0	"Constitutional"	1	0	0	35378	0.241	1	174	3.5378	0.06526
2017	"Starr"	65070	228	0.0070871	32171	0	0	"Constitutional"	1	0	0	27185	0.097	1	214	2.7185	0.06507
2011	"Milam"	24915	667	0.048225	13831	0	0	"Constitutional"	1	0	0	39751	0.143	1	166	3.9751	0.024915
2010	"Rockwall"	78337	18823	0.4107225	45829	0	0	"Midterm/Gubernatorial"	0	1	0	78032	0.356	2	199	7.8032	0.078337
2010	"Concho"	4087	874	0.493228	1772	0	0	"Midterm/Gubernatorial"	0	1	0	49063	0.105	2	48	4.9063	0.004087
